File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Statistical Area- Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Area,New England City and Town Combined Statistical Area,New England City and Town Area Division,Urban Area,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Public Use Microdata Area – 5% File,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,Qualifying Name,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Urban Area Central Place,Voting District,ZIP Code Tabulation Area (3-digit),Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 1% File,Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,% Total Population: Under 5 Years,% Total Population: 5 to 9 Years,% Total Population: 10 to 14 Years,% Total Population: 15 to 17 Years,% Total Population: 18 to 24 Years,% Total Population: 25 to 34 Years,% Total Population: 35 to 44 Years,% Total Population: 45 to 54 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More","% Households: Less than $10,000","% Households: $10,000 to $14,999","% Households: $15,000 to $19,999","% Households: $20,000 to $24,999","% Households: $25,000 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $44,999","% Households: $45,000 to $49,999","% Households: $50,000 to $59,999","% Households: $60,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 to $124,999","% Households: $125,000 to $149,999","% Households: $150,000 to $199,999","% Households: $200,000 or More"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
ACSSF,al,50,0,13,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01001,Autauga County,,,"Autauga County, Alabama",1001,1539634184,25674812,,,,,,,,55639,3235,3725,3645,2538,4636,7078,7304,7816,7172,4951,2577,962,5.81,6.69,6.55,4.56,8.33,12.72,13.13,14.05,12.89,8.9,4.63,1.73,21559,1331,982,1528,1134,1114,726,903,1062,765,1442,2218,2893,2248,1288,1027,898,6.17,4.55,7.09,5.26,5.17,3.37,4.19,4.93,3.55,6.69,10.29,13.42,10.43,5.97,4.76,4.17
ACSSF,al,50,0,14,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01003,Baldwin County,,,"Baldwin County, Alabama",1003,4117656199,1132956041,,,,,,,,218289,11960,11559,15171,8303,15733,24387,26411,28570,31479,26926,13661,4129,5.48,5.3,6.95,3.8,7.21,11.17,12.1,13.09,14.42,12.34,6.26,1.89,84047,4352,4011,2930,3506,3935,4450,3789,4314,3655,6148,7970,11536,7621,5375,4893,5562,5.18,4.77,3.49,4.17,4.68,5.29,4.51,5.13,4.35,7.31,9.48,13.73,9.07,6.4,5.82,6.62
ACSSF,al,50,0,15,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01005,Barbour County,,,"Barbour County, Alabama",1005,2292160149,50523213,,,,,,,,25026,1332,1550,1429,911,2007,3643,3047,3125,3205,2856,1438,483,5.32,6.19,5.71,3.64,8.02,14.56,12.18,12.49,12.81,11.41,5.75,1.93,9322,1365,706,972,742,362,515,469,413,279,699,824,680,635,214,206,241,14.64,7.57,10.43,7.96,3.88,5.52,5.03,4.43,2.99,7.5,8.84,7.29,6.81,2.3,2.21,2.59
ACSSF,al,50,0,16,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01007,Bibb County,,,"Bibb County, Alabama",1007,1612188717,9572303,,,,,,,,22374,1253,1186,1198,947,1803,3248,3085,3135,2843,2169,1179,328,5.6,5.3,5.35,4.23,8.06,14.52,13.79,14.01,12.71,9.69,5.27,1.47,7259,799,512,382,382,377,283,217,322,277,628,778,1129,600,212,204,157,11.01,7.05,5.26,5.26,5.19,3.9,2.99,4.44,3.82,8.65,10.72,15.55,8.27,2.92,2.81,2.16
ACSSF,al,50,0,17,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01009,Blount County,,,"Blount County, Alabama",1009,1670259090,14860281,,,,,,,,57755,3505,3486,4077,2304,4569,6879,7060,7630,7863,6019,3106,1257,6.07,6.04,7.06,3.99,7.91,11.91,12.22,13.21,13.61,10.42,5.38,2.18,21205,2145,968,885,1437,937,1445,961,1122,987,1794,1996,2283,1540,1091,1034,580,10.12,4.56,4.17,6.78,4.42,6.81,4.53,5.29,4.65,8.46,9.41,10.77,7.26,5.15,4.88,2.74
ACSSF,al,50,0,18,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01011,Bullock County,,,"Bullock County, Alabama",1011,1613083467,6030667,,,,,,,,10173,594,583,729,373,1110,1086,1193,1465,1402,1014,456,168,5.84,5.73,7.17,3.67,10.91,10.68,11.73,14.4,13.78,9.97,4.48,1.65,3429,625,336,138,271,190,174,80,111,84,441,155,258,388,38,45,95,18.23,9.8,4.02,7.9,5.54,5.07,2.33,3.24,2.45,12.86,4.52,7.52,11.32,1.11,1.31,2.77
ACSSF,al,50,0,19,,,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01013,Butler County,,,"Butler County, Alabama",1013,2012002546,2701199,,,,,,,,19726,1161,1174,1301,765,1505,2301,2486,2166,2775,2445,1176,471,5.89,5.95,6.6,3.88,7.63,11.66,12.6,10.98,14.07,12.39,5.96,2.39,6649,525,519,488,364,432,244,369,396,340,424,622,622,565,343,222,174,7.9,7.81,7.34,5.47,6.5,3.67,5.55,5.96,5.11,6.38,9.35,9.35,8.5,5.16,3.34,2.62
ACSSF,al,50,0,20,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01015,Calhoun County,,,"Calhoun County, Alabama",1015,1569246127,16536293,,,,,,,,114324,6662,6779,6938,4390,10588,15075,13654,14206,15787,12107,6204,1934,5.83,5.93,6.07,3.84,9.26,13.19,11.94,12.43,13.81,10.59,5.43,1.69,44572,3546,2702,2391,2459,2740,2505,2245,1888,1741,4182,4362,5445,3857,1879,1480,1150,7.96,6.06,5.36,5.52,6.15,5.62,5.04,4.24,3.91,9.38,9.79,12.22,8.65,4.22,3.32,2.58
ACSSF,al,50,0,21,,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01017,Chambers County,,,"Chambers County, Alabama",1017,1545085601,16971700,,,,,,,,33427,1984,1769,2022,1171,2710,4222,3706,4493,4820,3981,1960,589,5.94,5.29,6.05,3.5,8.11,12.63,11.09,13.44,14.42,11.91,5.86,1.76,13582,819,885,1101,792,1107,1000,693,529,514,1256,1222,1834,814,582,220,214,6.03,6.52,8.11,5.83,8.15,7.36,5.1,3.89,3.78,9.25,9,13.5,5.99,4.29,1.62,1.58
